SQL_INJECION_DATA : [1, 'Кирилл', 'Козлов', 'Ярославль', '2024-06-08', '19:00:30']
SQL_INJECION_DATA : [257, 'Роман', 'Семенов', 'Владивосток', '2024-06-19', '20:14:22']
SQL_INJECION_DATA : [258, 'Павел', 'Степанов', 'Омск', '2024-06-08', '12:51:03']
SQL_INJECION_DATA : [259, 'Владимир', 'Соколов', 'Томск', '2024-06-04', '17:51:45']
SQL_INJECION_DATA : [260, 'Тимофей', 'Васильев', 'Челябинск', '2024-06-08', '20:01:48']
SQL_INJECION_DATA : [261, 'Григорий', 'Соловьёв', 'Екатеринбург', '2024-06-10', '20:20:47']
SQL_INJECION_DATA : [262, 'Сергей', 'Соловьёв', 'Новокузнецк', '2024-06-04', '10:09:43']
SQL_INJECION_DATA : [263, 'Тимофей', 'Орлов', 'Владивосток', '2024-06-15', '14:36:25']
SQL_INJECION_DATA : [264, 'Виктор', 'Кузнецов', 'Иркутск', '2024-06-19', '19:41:01']
SQL_INJECION_DATA : [265, 'Иван', 'Орлов', 'Томск', '2024-06-18', '10:48:38']
SQL_INJECION_DATA : [266, 'Кирилл', 'Попов', 'Кемерово', '2024-06-10', '10:47:54']
SQL_INJECION_DATA : [267, 'Николай', 'Соловьёв', 'Ижевск', '2024-06-13', '16:48:01']
SQL_INJECION_DATA : [268, 'Алексей', 'Алексеев', 'Уфа', '2024-06-09', '16:03:56']
SQL_INJECION_DATA : [269, 'Владислав', 'Попов', 'Оренбург', '2024-06-12', '14:01:57']
SQL_INJECION_DATA : [270, 'Виктор', 'Соколов', 'Ульяновск', '2024-06-11', '16:03:41']
SQL_INJECION_DATA : [271, 'Виктор', 'Алексеев', 'Омск', '2024-06-16', '14:05:52']
SQL_INJECION_DATA : [272, 'Тимофей', 'Морозов', 'Ростов-на-Дону', '2024-06-11', '20:34:17']
SQL_INJECION_DATA : [273, 'Павел', 'Павлов', 'Рязань', '2024-06-13', '19:52:21']
SQL_INJECION_DATA : [274, 'Михаил', 'Соколов', 'Иркутск', '2024-06-03', '10:48:26']
SQL_INJECION_DATA : [275, 'Илья', 'Григорьев', 'Воронеж', '2024-06-06', '11:55:17']
SQL_INJECION_DATA : [276, 'Павел', 'Козлов', 'Омск', '2024-06-18', '18:07:52']
SQL_INJECION_DATA : [277, 'Юрий', 'Соколов', 'Владивосток', '2024-06-13', '17:05:49']
SQL_INJECION_DATA : [278, 'Григорий', 'Морозов', 'Владивосток', '2024-06-16', '17:34:06']
SQL_INJECION_DATA : [279, 'Борис', 'Михайлов', 'Новосибирск', '2024-06-07', '17:50:07']
SQL_INJECION_DATA : [280, 'Григорий', 'Макаров', 'Кемерово', '2024-06-13', '20:17:12']
SQL_INJECION_DATA : [281, 'Руслан', 'Морозов', 'Екатеринбург', '2024-06-06', '15:21:16']
SQL_INJECION_DATA : [282, 'Олег', 'Фёдоров', 'Омск', '2024-06-08', '12:26:48']
SQL_INJECION_DATA : [283, 'Владислав', 'Кузнецов', 'Махачкала', '2024-06-10', '11:36:20']
SQL_INJECION_DATA : [284, 'Борис', 'Фёдоров', 'Томск', '2024-06-15', '10:56:26']
SQL_INJECION_DATA : [285, 'Юрий', 'Кузнецов', 'Омск', '2024-06-03', '19:02:27']
SQL_INJECION_DATA : [286, 'Никита', 'Яковлев', 'Екатеринбург', '2024-06-06', '14:09:17']
SQL_INJECION_DATA : [287, 'Алексей', 'Павлов', 'Рязань', '2024-06-15', '17:00:25']
SQL_INJECION_DATA : [288, 'Дмитрий', 'Григорьев', 'Самара', '2024-06-11', '12:12:38']
SQL_INJECION_DATA : [289, 'Вадим', 'Борисов', 'Ижевск', '2024-06-19', '12:47:35']
SQL_INJECION_DATA : [290, 'Станислав', 'Иванов', 'Челябинск', '2024-06-16', '14:48:03']
SQL_INJECION_DATA : [291, 'Илья', 'Николаев', 'Рязань', '2024-06-15', '16:19:10']
SQL_INJECION_DATA : [292, 'Виктор', 'Козлов', 'Волгоград', '2024-06-04', '11:53:34']
SQL_INJECION_DATA : [293, 'Сергей', 'Зайцев', 'Владивосток', '2024-06-11', '20:43:28']
SQL_INJECION_DATA : [294, 'Олег', 'Морозов', 'Ярославль', '2024-06-11', '19:09:00']
SQL_INJECION_DATA : [295, 'Григорий', 'Макаров', 'Иркутск', '2024-06-19', '20:06:44']
SQL_INJECION_DATA : [296, 'Станислав', 'Яковлев', 'Красноярск', '2024-06-11', '10:57:07']
SQL_INJECION_DATA : [297, 'Павел', 'Волков', 'Казань', '2024-06-15', '13:48:44']
SQL_INJECION_DATA : [298, 'Григорий', 'Макаров', 'Казань', '2024-06-20', '12:39:40']
SQL_INJECION_DATA : [299, 'Сергей', 'Соловьёв', 'Новокузнецк', '2024-06-06', '11:26:50']
SQL_INJECION_DATA : [300, 'Никита', 'Орлов', 'Красноярск', '2024-06-17', '12:36:23']
SQL_INJECION_DATA : [301, 'Егор', 'Егоров', 'Иркутск', '2024-06-06', '15:36:39']
SQL_INJECION_DATA : [302, 'Юрий', 'Алексеев', 'Новокузнецк', '2024-06-14', '18:43:47']
SQL_INJECION_DATA : [303, 'Роман', 'Соколов', 'Новокузнецк', '2024-06-07', '19:51:00']
SQL_INJECION_DATA : [304, 'Олег', 'Соколов', 'Тюмень', '2024-06-05', '10:09:21']
SQL_INJECION_DATA : [305, 'Иван', 'Яковлев', 'Казань', '2024-06-09', '17:57:57']
SQL_INJECION_DATA : [306, 'Антон', 'Волков', 'Воронеж', '2024-06-09', '17:56:30']
SQL_INJECION_DATA : [307, 'Виктор', 'Егоров', 'Ярославль', '2024-06-17', '15:43:35']
SQL_INJECION_DATA : [308, 'Илья', 'Николаев', 'Нижний Новгород', '2024-06-13', '12:17:23']
SQL_INJECION_DATA : [309, 'Егор', 'Андреев', 'Пермь', '2024-06-18', '15:06:35']
SQL_INJECION_DATA : [310, 'Станислав', 'Андреев', 'Тюмень', '2024-06-07', '19:17:07']
SQL_INJECION_DATA : [311, 'Григорий', 'Михайлов', 'Махачкала', '2024-06-20', '13:55:11']
SQL_INJECION_DATA : [312, 'Антон', 'Иванов', 'Новокузнецк', '2024-06-04', '14:00:09']
SQL_INJECION_DATA : [313, 'Вадим', 'Зайцев', 'Санкт-Петербург', '2024-06-20', '17:03:02']
SQL_INJECION_DATA : [314, 'Андрей', 'Орлов', 'Москва', '2024-06-15', '17:58:18']
SQL_INJECION_DATA : [315, 'Андрей', 'Захаров', 'Москва', '2024-06-07', '14:52:53']
SQL_INJECION_DATA : [316, 'Станислав', 'Семенов', 'Краснодар', '2024-06-15', '17:29:43']
SQL_INJECION_DATA : [317, 'Максим', 'Алексеев', 'Хабаровск', '2024-06-09', '13:43:28']
SQL_INJECION_DATA : [318, 'Сергей', 'Новиков', 'Пермь', '2024-06-05', '20:35:02']
SQL_INJECION_DATA : [319, 'Дмитрий', 'Попов', 'Тюмень', '2024-06-11', '10:33:39']
SQL_INJECION_DATA : [320, 'Павел', 'Соколов', 'Владивосток', '2024-06-12', '17:08:57']
SQL_INJECION_DATA : [321, 'Борис', 'Семенов', 'Казань', '2024-06-20', '20:47:21']
SQL_INJECION_DATA : [322, 'Павел', 'Смирнов', 'Санкт-Петербург', '2024-06-15', '18:27:37']
SQL_INJECION_DATA : [323, 'Алексей', 'Соловьёв', 'Пермь', '2024-06-17', '17:56:16']
SQL_INJECION_DATA : [324, 'Руслан', 'Соловьёв', 'Омск', '2024-06-09', '20:16:49']
SQL_INJECION_DATA : [325, 'Тимофей', 'Семенов', 'Хабаровск', '2024-06-08', '11:31:32']
SQL_INJECION_DATA : [326, 'Владислав', 'Никитин', 'Красноярск', '2024-06-12', '14:10:03']
SQL_INJECION_DATA : [327, 'Максим', 'Соколов', 'Москва', '2024-06-15', '12:42:06']
SQL_INJECION_DATA : [328, 'Михаил', 'Степанов', 'Санкт-Петербург', '2024-06-19', '14:26:22']
SQL_INJECION_DATA : [329, 'Сергей', 'Соловьёв', 'Барнаул', '2024-06-20', '11:11:32']
SQL_INJECION_DATA : [330, 'Борис', 'Смирнов', 'Санкт-Петербург', '2024-06-09', '12:24:41']
SQL_INJECION_DATA : [331, 'Владимир', 'Захаров', 'Махачкала', '2024-06-18', '18:35:16']
SQL_INJECION_DATA : [332, 'Борис', 'Андреев', 'Ростов-на-Дону', '2024-06-05', '14:57:58']
SQL_INJECION_DATA : [333, 'Руслан', 'Павлов', 'Иркутск', '2024-06-13', '12:02:48']
SQL_INJECION_DATA : [334, 'Руслан', 'Новиков', 'Ижевск', '2024-06-05', '17:24:00']
SQL_INJECION_DATA : [335, 'Станислав', 'Семенов', 'Ижевск', '2024-06-16', '18:32:25']
SQL_INJECION_DATA : [336, 'Николай', 'Алексеев', 'Тюмень', '2024-06-03', '11:32:45']
SQL_INJECION_DATA : [337, 'Фёдор', 'Андреев', 'Самара', '2024-06-13', '19:12:53']
SQL_INJECION_DATA : [338, 'Николай', 'Алексеев', 'Санкт-Петербург', '2024-06-08', '15:37:43']
SQL_INJECION_DATA : [339, 'Владимир', 'Лебедев', 'Москва', '2024-06-19', '17:39:52']
SQL_INJECION_DATA : [340, 'Олег', 'Яковлев', 'Ижевск', '2024-06-19', '11:52:41']
SQL_INJECION_DATA : [341, 'Тимофей', 'Никитин', 'Ярославль', '2024-06-05', '10:02:29']
SQL_INJECION_DATA : [342, 'Вадим', 'Фёдоров', 'Томск', '2024-06-05', '15:59:06']
SQL_INJECION_DATA : [343, 'Павел', 'Степанов', 'Казань', '2024-06-16', '17:58:43']
SQL_INJECION_DATA : [344, 'Владислав', 'Смирнов', 'Ярославль', '2024-06-18', '13:07:17']
SQL_INJECION_DATA : [345, 'Вадим', 'Васильев', 'Красноярск', '2024-06-12', '17:30:45']
SQL_INJECION_DATA : [346, 'Владимир', 'Борисов', 'Волгоград', '2024-06-05', '12:25:11']
SQL_INJECION_DATA : [347, 'Дмитрий', 'Иванов', 'Владивосток', '2024-06-14', '11:17:31']
SQL_INJECION_DATA : [348, 'Фёдор', 'Павлов', 'Волгоград', '2024-06-06', '12:33:15']
SQL_INJECION_DATA : [349, 'Дмитрий', 'Попов', 'Кемерово', '2024-06-05', '12:50:12']
SQL_INJECION_DATA : [350, 'Андрей', 'Васильев', 'Ярославль', '2024-06-07', '11:55:44']
SQL_INJECION_DATA : [351, 'Михаил', 'Морозов', 'Новосибирск', '2024-06-18', '12:14:37']
SQL_INJECION_DATA : [352, 'Иван', 'Павлов', 'Уфа', '2024-06-13', '15:37:42']
SQL_INJECION_DATA : [353, 'Александр', 'Макаров', 'Челябинск', '2024-06-17', '13:52:05']
SQL_INJECION_DATA : [354, 'Кирилл', 'Фёдоров', 'Барнаул', '2024-06-14', '14:48:52']
SQL_INJECION_DATA : [355, 'Иван', 'Волков', 'Новосибирск', '2024-06-05', '19:41:54']
SQL_INJECION_DATA : [356, 'Юрий', 'Иванов', 'Ярославль', '2024-06-08', '18:26:14']
SQL_INJECION_DATA : [357, 'Иван', 'Андреев', 'Омск', '2024-06-04', '14:42:17']
SQL_INJECION_DATA : [358, 'Роман', 'Лебедев', 'Волгоград', '2024-06-05', '11:17:29']
SQL_INJECION_DATA : [359, 'Сергей', 'Михайлов', 'Москва', '2024-06-19', '14:38:23']
SQL_INJECION_DATA : [360, 'Борис', 'Лебедев', 'Уфа', '2024-06-03', '20:05:57']
SQL_INJECION_DATA : [361, 'Егор', 'Попов', 'Ульяновск', '2024-06-15', '14:53:07']
SQL_INJECION_DATA : [362, 'Юрий', 'Алексеев', 'Омск', '2024-06-03', '15:16:48']
SQL_INJECION_DATA : [363, 'Сергей', 'Попов', 'Екатеринбург', '2024-06-03', '14:07:20']
SQL_INJECION_DATA : [364, 'Николай', 'Орлов', 'Владивосток', '2024-06-18', '16:51:03']
SQL_INJECION_DATA : [365, 'Артём', 'Соловьёв', 'Казань', '2024-06-14', '17:45:05']
SQL_INJECION_DATA : [366, 'Андрей', 'Николаев', 'Рязань', '2024-06-10', '13:47:48']
SQL_INJECION_DATA : [367, 'Вадим', 'Семенов', 'Хабаровск', '2024-06-18', '14:32:38']
SQL_INJECION_DATA : [368, 'Павел', 'Волков', 'Красноярск', '2024-06-15', '16:40:25']
SQL_INJECION_DATA : [369, 'Константин', 'Егоров', 'Пермь', '2024-06-18', '15:19:38']
SQL_INJECION_DATA : [370, 'Константин', 'Новиков', 'Хабаровск', '2024-06-04', '12:23:05']
SQL_INJECION_DATA : [371, 'Михаил', 'Козлов', 'Ульяновск', '2024-06-15', '16:24:03']
SQL_INJECION_DATA : [372, 'Борис', 'Николаев', 'Санкт-Петербург', '2024-06-04', '10:04:35']
SQL_INJECION_DATA : [373, 'Юрий', 'Попов', 'Барнаул', '2024-06-05', '16:23:46']
SQL_INJECION_DATA : [374, 'Максим', 'Кузнецов', 'Ярославль', '2024-06-04', '11:01:27']
SQL_INJECION_DATA : [375, 'Иван', 'Михайлов', 'Новокузнецк', '2024-06-15', '15:29:21']
SQL_INJECION_DATA : [376, 'Александр', 'Макаров', 'Оренбург', '2024-06-09', '20:56:05']
SQL_INJECION_DATA : [377, 'Константин', 'Лебедев', 'Самара', '2024-06-19', '13:56:06']
SQL_INJECION_DATA : [378, 'Виктор', 'Михайлов', 'Хабаровск', '2024-06-15', '18:50:21']
SQL_INJECION_DATA : [379, 'Владислав', 'Кузнецов', 'Иркутск', '2024-06-16', '20:32:49']
SQL_INJECION_DATA : [380, 'Сергей', 'Егоров', 'Уфа', '2024-06-05', '16:39:10']
SQL_INJECION_DATA : [381, 'Илья', 'Кузнецов', 'Иркутск', '2024-06-05', '20:48:46']
SQL_INJECION_DATA : [382, 'Григорий', 'Соколов', 'Рязань', '2024-06-11', '17:28:27']
SQL_INJECION_DATA : [383, 'Максим', 'Соловьёв', 'Санкт-Петербург', '2024-06-15', '11:34:13']
SQL_INJECION_DATA : [384, 'Станислав', 'Семенов', 'Санкт-Петербург', '2024-06-10', '20:17:26']
SQL_INJECION_DATA : [385, 'Борис', 'Попов', 'Хабаровск', '2024-06-12', '13:43:01']
SQL_INJECION_DATA : [386, 'Дмитрий', 'Павлов', 'Уфа', '2024-06-04', '20:31:10']
SQL_INJECION_DATA : [387, 'Станислав', 'Петров', 'Казань', '2024-06-19', '11:41:41']
SQL_INJECION_DATA : [388, 'Алексей', 'Орлов', 'Оренбург', '2024-06-16', '15:40:46']
SQL_INJECION_DATA : [389, 'Алексей', 'Соловьёв', 'Новосибирск', '2024-06-17', '11:22:32']
SQL_INJECION_DATA : [390, 'Александр', 'Алексеев', 'Тюмень', '2024-06-03', '15:01:49']
SQL_INJECION_DATA : [391, 'Павел', 'Козлов', 'Иркутск', '2024-06-12', '13:43:31']
SQL_INJECION_DATA : [392, 'Иван', 'Лебедев', 'Владивосток', '2024-06-19', '13:05:57']
SQL_INJECION_DATA : [393, 'Олег', 'Степанов', 'Нижний Новгород', '2024-06-07', '20:48:52']
SQL_INJECION_DATA : [394, 'Борис', 'Григорьев', 'Новосибирск', '2024-06-20', '16:39:43']
SQL_INJECION_DATA : [395, 'Антон', 'Васильев', 'Самара', '2024-06-09', '13:10:19']
SQL_INJECION_DATA : [396, 'Николай', 'Яковлев', 'Екатеринбург', '2024-06-16', '10:08:52']
SQL_INJECION_DATA : [397, 'Роман', 'Соловьёв', 'Хабаровск', '2024-06-17', '11:23:45']
SQL_INJECION_DATA : [398, 'Станислав', 'Волков', 'Барнаул', '2024-06-13', '16:31:18']
SQL_INJECION_DATA : [399, 'Юрий', 'Андреев', 'Рязань', '2024-06-13', '12:19:27']
SQL_INJECION_DATA : [400, 'Григорий', 'Попов', 'Уфа', '2024-06-03', '10:07:38']
SQL_INJECION_DATA : [401, 'Владислав', 'Михайлов', 'Новокузнецк', '2024-06-12', '11:14:11']
SQL_INJECION_DATA : [402, 'Максим', 'Андреев', 'Новокузнецк', '2024-06-12', '19:00:42']
SQL_INJECION_DATA : [403, 'Максим', 'Кузнецов', 'Ульяновск', '2024-06-20', '11:53:11']
SQL_INJECION_DATA : [404, 'Николай', 'Макаров', 'Оренбург', '2024-06-07', '10:27:31']
SQL_INJECION_DATA : [405, 'Станислав', 'Семенов', 'Самара', '2024-06-04', '19:36:16']
SQL_INJECION_DATA : [406, 'Андрей', 'Николаев', 'Санкт-Петербург', '2024-06-12', '20:06:11']
SQL_INJECION_DATA : [407, 'Николай', 'Зайцев', 'Москва', '2024-06-13', '12:45:25']
SQL_INJECION_DATA : [408, 'Алексей', 'Никитин', 'Томск', '2024-06-17', '16:33:04']
SQL_INJECION_DATA : [409, 'Константин', 'Павлов', 'Санкт-Петербург', '2024-06-18', '16:24:10']
SQL_INJECION_DATA : [410, 'Егор', 'Петров', 'Кемерово', '2024-06-19', '18:08:31']
SQL_INJECION_DATA : [411, 'Владислав', 'Петров', 'Волгоград', '2024-06-13', '10:08:17']
SQL_INJECION_DATA : [412, 'Кирилл', 'Зайцев', 'Воронеж', '2024-06-03', '13:25:06']
SQL_INJECION_DATA : [413, 'Руслан', 'Орлов', 'Уфа', '2024-06-15', '12:43:39']
SQL_INJECION_DATA : [414, 'Сергей', 'Андреев', 'Уфа', '2024-06-13', '14:20:10']
SQL_INJECION_DATA : [415, 'Роман', 'Борисов', 'Тюмень', '2024-06-08', '10:59:05']
SQL_INJECION_DATA : [416, 'Станислав', 'Борисов', 'Екатеринбург', '2024-06-10', '20:10:22']
SQL_INJECION_DATA : [417, 'Олег', 'Макаров', 'Оренбург', '2024-06-13', '10:09:34']
SQL_INJECION_DATA : [418, 'Михаил', 'Соколов', 'Санкт-Петербург', '2024-06-07', '17:07:49']
SQL_INJECION_DATA : [419, 'Артём', 'Кузнецов', 'Томск', '2024-06-09', '17:11:13']
SQL_INJECION_DATA : [420, 'Илья', 'Орлов', 'Ижевск', '2024-06-08', '10:04:32']
SQL_INJECION_DATA : [421, 'Фёдор', 'Егоров', 'Ярославль', '2024-06-15', '13:13:58']
SQL_INJECION_DATA : [422, 'Владислав', 'Фёдоров', 'Новокузнецк', '2024-06-11', '12:41:04']
SQL_INJECION_DATA : [423, 'Николай', 'Михайлов', 'Ростов-на-Дону', '2024-06-11', '14:09:56']
SQL_INJECION_DATA : [424, 'Михаил', 'Лебедев', 'Рязань', '2024-06-07', '20:05:54']
SQL_INJECION_DATA : [425, 'Роман', 'Соколов', 'Воронеж', '2024-06-09', '19:25:39']
SQL_INJECION_DATA : [426, 'Кирилл', 'Кузнецов', 'Ульяновск', '2024-06-19', '11:57:06']
SQL_INJECION_DATA : [427, 'Юрий', 'Павлов', 'Самара', '2024-06-19', '20:35:49']
SQL_INJECION_DATA : [428, 'Артём', 'Лебедев', 'Волгоград', '2024-06-15', '19:55:01']
SQL_INJECION_DATA : [429, 'Григорий', 'Михайлов', 'Ижевск', '2024-06-08', '15:18:32']
SQL_INJECION_DATA : [430, 'Сергей', 'Борисов', 'Иркутск', '2024-06-04', '16:39:49']
SQL_INJECION_DATA : [431, 'Александр', 'Новиков', 'Челябинск', '2024-06-07', '17:29:46']
SQL_INJECION_DATA : [432, 'Тимофей', 'Алексеев', 'Кемерово', '2024-06-05', '16:24:59']
SQL_INJECION_DATA : [433, 'Дмитрий', 'Орлов', 'Челябинск', '2024-06-19', '17:58:02']
SQL_INJECION_DATA : [434, 'Николай', 'Козлов', 'Рязань', '2024-06-04', '13:29:04']
SQL_INJECION_DATA : [435, 'Михаил', 'Орлов', 'Санкт-Петербург', '2024-06-07', '16:30:23']
SQL_INJECION_DATA : [436, 'Илья', 'Морозов', 'Томск', '2024-06-07', '15:39:07']
SQL_INJECION_DATA : [437, 'Михаил', 'Фёдоров', 'Томск', '2024-06-12', '17:34:25']
SQL_INJECION_DATA : [438, 'Николай', 'Никитин', 'Челябинск', '2024-06-11', '20:06:14']
SQL_INJECION_DATA : [439, 'Владислав', 'Степанов', 'Ульяновск', '2024-06-12', '20:19:13']
SQL_INJECION_DATA : [440, 'Роман', 'Смирнов', 'Казань', '2024-06-19', '18:21:37']
SQL_INJECION_DATA : [441, 'Егор', 'Яковлев', 'Ижевск', '2024-06-08', '15:17:06']
SQL_INJECION_DATA : [442, 'Руслан', 'Алексеев', 'Челябинск', '2024-06-16', '15:29:41']
SQL_INJECION_DATA : [443, 'Максим', 'Орлов', 'Махачкала', '2024-06-06', '19:40:09']
SQL_INJECION_DATA : [444, 'Михаил', 'Козлов', 'Владивосток', '2024-06-13', '14:39:47']
SQL_INJECION_DATA : [445, 'Роман', 'Михайлов', 'Омск', '2024-06-13', '18:10:49']
SQL_INJECION_DATA : [446, 'Илья', 'Семенов', 'Волгоград', '2024-06-13', '20:12:11']
SQL_INJECION_DATA : [447, 'Николай', 'Иванов', 'Оренбург', '2024-06-05', '12:40:38']
SQL_INJECION_DATA : [448, 'Артём', 'Захаров', 'Челябинск', '2024-06-06', '11:04:20']
SQL_INJECION_DATA : [449, 'Олег', 'Волков', 'Москва', '2024-06-17', '13:27:35']
SQL_INJECION_DATA : [450, 'Николай', 'Орлов', 'Ярославль', '2024-06-05', '12:30:08']
SQL_INJECION_DATA : [451, 'Григорий', 'Михайлов', 'Барнаул', '2024-06-04', '19:18:15']
SQL_INJECION_DATA : [452, 'Фёдор', 'Николаев', 'Красноярск', '2024-06-08', '12:43:18']
SQL_INJECION_DATA : [453, 'Андрей', 'Захаров', 'Оренбург', '2024-06-11', '14:35:14']
SQL_INJECION_DATA : [454, 'Борис', 'Борисов', 'Воронеж', '2024-06-18', '20:07:33']
SQL_INJECION_DATA : [455, 'Никита', 'Морозов', 'Новосибирск', '2024-06-06', '14:55:50']
SQL_INJECION_DATA : [456, 'Тимофей', 'Морозов', 'Томск', '2024-06-11', '14:08:05']
SQL_INJECION_DATA : [457, 'Никита', 'Семенов', 'Москва', '2024-06-20', '11:45:41']
SQL_INJECION_DATA : [458, 'Антон', 'Попов', 'Иркутск', '2024-06-18', '15:27:22']
SQL_INJECION_DATA : [459, 'Алексей', 'Соловьёв', 'Иркутск', '2024-06-05', '16:57:43']
SQL_INJECION_DATA : [460, 'Алексей', 'Фёдоров', 'Новосибирск', '2024-06-20', '14:15:58']
SQL_INJECION_DATA : [461, 'Антон', 'Соловьёв', 'Нижний Новгород', '2024-06-03', '14:20:17']
SQL_INJECION_DATA : [462, 'Григорий', 'Кузнецов', 'Тюмень', '2024-06-04', '11:22:33']
SQL_INJECION_DATA : [463, 'Николай', 'Новиков', 'Новокузнецк', '2024-06-10', '10:28:43']
SQL_INJECION_DATA : [464, 'Михаил', 'Яковлев', 'Махачкала', '2024-06-16', '17:49:05']
SQL_INJECION_DATA : [465, 'Роман', 'Павлов', 'Санкт-Петербург', '2024-06-20', '19:51:50']
SQL_INJECION_DATA : [466, 'Владимир', 'Соколов', 'Новокузнецк', '2024-06-05', '20:56:39']
SQL_INJECION_DATA : [467, 'Сергей', 'Кузнецов', 'Нижний Новгород', '2024-06-10', '19:54:35']
SQL_INJECION_DATA : [468, 'Борис', 'Михайлов', 'Махачкала', '2024-06-10', '20:20:27']
SQL_INJECION_DATA : [469, 'Кирилл', 'Андреев', 'Уфа', '2024-06-12', '17:41:57']
SQL_INJECION_DATA : [470, 'Иван', 'Захаров', 'Рязань', '2024-06-15', '15:18:56']
SQL_INJECION_DATA : [471, 'Иван', 'Степанов', 'Иркутск', '2024-06-17', '12:55:14']
SQL_INJECION_DATA : [472, 'Александр', 'Борисов', 'Омск', '2024-06-15', '11:18:44']
SQL_INJECION_DATA : [473, 'Константин', 'Волков', 'Екатеринбург', '2024-06-05', '12:14:23']
SQL_INJECION_DATA : [474, 'Константин', 'Павлов', 'Москва', '2024-06-15', '15:31:43']
SQL_INJECION_DATA : [475, 'Константин', 'Степанов', 'Владивосток', '2024-06-15', '19:52:20']
SQL_INJECION_DATA : [476, 'Руслан', 'Соловьёв', 'Новосибирск', '2024-06-06', '18:08:04']
SQL_INJECION_DATA : [477, 'Никита', 'Фёдоров', 'Санкт-Петербург', '2024-06-12', '15:37:55']
SQL_INJECION_DATA : [478, 'Станислав', 'Лебедев', 'Ярославль', '2024-06-15', '18:35:47']
SQL_INJECION_DATA : [479, 'Кирилл', 'Андреев', 'Иркутск', '2024-06-16', '10:47:43']
SQL_INJECION_DATA : [480, 'Артём', 'Новиков', 'Ростов-на-Дону', '2024-06-05', '17:14:22']
SQL_INJECION_DATA : [481, 'Павел', 'Зайцев', 'Краснодар', '2024-06-20', '18:19:52']
SQL_INJECION_DATA : [482, 'Егор', 'Никитин', 'Новокузнецк', '2024-06-09', '16:33:32']
SQL_INJECION_DATA : [483, 'Михаил', 'Фёдоров', 'Махачкала', '2024-06-08', '19:16:44']
SQL_INJECION_DATA : [484, 'Павел', 'Алексеев', 'Тюмень', '2024-06-15', '16:49:50']
SQL_INJECION_DATA : [485, 'Борис', 'Андреев', 'Ижевск', '2024-06-04', '10:41:40']
SQL_INJECION_DATA : [486, 'Павел', 'Андреев', 'Махачкала', '2024-06-07', '14:16:29']
SQL_INJECION_DATA : [487, 'Фёдор', 'Смирнов', 'Воронеж', '2024-06-13', '17:51:02']
SQL_INJECION_DATA : [488, 'Сергей', 'Алексеев', 'Омск', '2024-06-14', '17:40:45']
SQL_INJECION_DATA : [489, 'Григорий', 'Григорьев', 'Екатеринбург', '2024-06-17', '14:06:04']
SQL_INJECION_DATA : [490, 'Антон', 'Степанов', 'Томск', '2024-06-12', '14:18:33']
SQL_INJECION_DATA : [491, 'Дмитрий', 'Козлов', 'Махачкала', '2024-06-07', '16:55:11']
SQL_INJECION_DATA : [492, 'Николай', 'Иванов', 'Омск', '2024-06-15', '10:01:29']
SQL_INJECION_DATA : [493, 'Юрий', 'Макаров', 'Махачкала', '2024-06-18', '20:49:17']
SQL_INJECION_DATA : [494, 'Иван', 'Семенов', 'Пермь', '2024-06-06', '16:33:39']
SQL_INJECION_DATA : [495, 'Дмитрий', 'Попов', 'Пермь', '2024-06-19', '13:29:06']
SQL_INJECION_DATA : [496, 'Павел', 'Козлов', 'Ростов-на-Дону', '2024-06-15', '16:42:17']
SQL_INJECION_DATA : [497, 'Артём', 'Новиков', 'Рязань', '2024-06-05', '13:09:55']
SQL_INJECION_DATA : [498, 'Вадим', 'Павлов', 'Ижевск', '2024-06-07', '16:07:46']
SQL_INJECION_DATA : [499, 'Роман', 'Захаров', 'Самара', '2024-06-11', '11:55:33']
SQL_INJECION_DATA : [500, 'Андрей', 'Соколов', 'Барнаул', '2024-06-09', '10:16:58']
SQL_INJECION_DATA : [501, 'Илья', 'Семенов', 'Уфа', '2024-06-07', '18:17:22']
SQL_INJECION_DATA : [502, 'Иван', 'Борисов', 'Ростов-на-Дону', '2024-06-05', '10:19:28']
SQL_INJECION_DATA : [503, 'Павел', 'Соловьёв', 'Краснодар', '2024-06-13', '15:29:47']
SQL_INJECION_DATA : [504, 'Виктор', 'Михайлов', 'Волгоград', '2024-06-15', '19:25:31']
SQL_INJECION_DATA : [505, 'Артём', 'Яковлев', 'Омск', '2024-06-17', '20:29:38']
SQL_INJECION_DATA : [506, 'Роман', 'Борисов', 'Омск', '2024-06-03', '13:43:17']
SQL_INJECION_DATA : [507, 'Сергей', 'Петров', 'Барнаул', '2024-06-07', '10:05:57']
SQL_INJECION_DATA : [508, 'Владимир', 'Макаров', 'Томск', '2024-06-05', '15:14:25']
SQL_INJECION_DATA : [509, 'Вадим', 'Семенов', 'Тюмень', '2024-06-13', '17:35:29']
SQL_INJECION_DATA : [510, 'Борис', 'Павлов', 'Ярославль', '2024-06-06', '10:07:47']
SQL_INJECION_DATA : [511, 'Михаил', 'Григорьев', 'Новокузнецк', '2024-06-07', '14:25:31']
SQL_INJECION_DATA : [512, 'Олег', 'Захаров', 'Екатеринбург', '2024-06-12', '18:35:54']
SQL_INJECION_DATA : [513, 'Владислав', 'Соколов', 'Иркутск', '2024-06-18', '17:51:12']
